id,first_name,last_name,phone_number,specialization,work_experience
1,Емельян,Агафонов,+7 (990) 170 82-14,Автомеханик,13.9
2,Селиверст,Титов,+7 (902) 226 10-32,Шиномонтажник,19.5
3,Валентин,Комаров,+7 (929) 633 86-26,Автоэлектрик,18.2
4,Амвросий,Гришин,+7 (965) 205 11-21,Шиномонтажник,17.3
5,Стоян,Ситников,+7 (903) 435 38-35,Автомеханик,15.0
6,Геннадий,Лебедев,+7 (923) 560 96-42,Шиномонтажник,23.5
7,Ратмир,Ермаков,+7 (923) 138 91-44,Автомеханик,18.5
8,Всемил,Лобанов,+7 (919) 948 74-37,Автослесарь,3.3
9,Харитон,Михеев,+7 (929) 248 14-78,Автомаляр,27.5
10,Устин,Якушев,+7 (905) 508 50-40,Рихтовщик,25.7
11,Иван,Мартынов,+7 (901) 458 56-11,Кузовщик,31.0
12,Владимир,Дроздов,+7 (927) 567 75-10,Автомеханик,22.9
13,Олимпий,Орехов,+7 (915) 550 61-82,Автомаляр,15.4
14,Денис,Блохин,+7 (908) 290 61-51,Кузовщик,12.3
15,Орест,Мельников,+7 (953) 106 79-33,Автомаляр,15.3
16,Феоктист,Жуков,+7 (913) 800 52-59,Кузовщик,11.6
17,Творимир,Блохин,+7 (971) 295 64-03,Рихтовщик,21.1
18,Радим,Богданов,+7 (933) 649 97-67,Автоэлектрик,1.0
19,Орест,Власов,+7 (974) 758 76-09,Автомеханик,31.0
20,Изот,Кузьмин,+7 (904) 933 72-93,Шиномонтажник,3.4
21,Ростислав,Муравьев,+7 (954) 138 29-37,Автоэлектрик,30.3
22,Дорофей,Тимофеев,+7 (968) 833 65-38,Кузовщик,4.7
23,Серафим,Евсеев,+7 (908) 942 57-69,Кузовщик,28.7
24,Павел,Савин,+7 (982) 787 42-45,Автомеханик,17.3
25,Радим,Абрамов,+7 (935) 850 28-33,Автомаляр,31.1
26,Игнатий,Гаврилов,+7 (925) 757 76-85,Кузовщик,10.7
27,Касьян,Андреев,+7 (953) 456 76-00,Автослесарь,18.8
28,Каллистрат,Воробьев,+7 (939) 251 01-98,Кузовщик,9.3
29,Аполлинарий,Потапов,+7 (974) 972 26-75,Автомаляр,30.6
30,Пахом,Никитин,+7 (937) 381 82-83,Рихтовщик,18.7
31,Зиновий,Шашков,+7 (910) 171 87-91,Автомеханик,4.0
32,Валентин,Герасимов,+7 (971) 863 27-07,Автоэлектрик,4.4
33,Спиридон,Костин,+7 (952) 643 47-00,Рихтовщик,18.3
34,Милий,Иванов,+7 (914) 866 43-61,Кузовщик,13.7
35,Антип,Корнилов,+7 (970) 782 30-97,Автоэлектрик,30.1
36,Пахом,Субботин,+7 (943) 589 70-39,Рихтовщик,19.9
37,Осип,Михайлов,+7 (915) 398 07-99,Кузовщик,3.3
38,Сергей,Кононов,+7 (911) 686 22-91,Шиномонтажник,13.4
39,Авдей,Васильев,+7 (950) 233 48-72,Автоэлектрик,13.0
40,Онуфрий,Гущин,+7 (926) 562 85-59,Шиномонтажник,20.0
41,Любосмысл,Никифоров,+7 (993) 243 00-72,Автомеханик,13.2
42,Евстигней,Бобылев,+7 (901) 883 20-67,Автомеханик,28.4
43,Лонгин,Назаров,+7 (978) 790 77-09,Кузовщик,10.0
44,Евдоким,Зиновьев,+7 (967) 585 39-21,Автомеханик,30.1
45,Пимен,Федотов,+7 (924) 592 64-17,Автоэлектрик,7.9
46,Панфил,Николаев,+7 (929) 909 67-94,Автомеханик,15.0
47,Капитон,Ситников,+7 (927) 395 41-30,Автомаляр,3.1
48,Селиверст,Иванов,+7 (971) 761 30-58,Автоэлектрик,3.0
49,Артемий,Дементьев,+7 (943) 924 82-91,Кузовщик,2.6
50,Амос,Капустин,+7 (994) 498 96-21,Автослесарь,7.6
51,Рюрик,Поляков,+7 (936) 332 93-92,Шиномонтажник,22.2
52,Афиноген,Соболев,+7 (931) 602 40-44,Автомеханик,21.7
53,Тимофей,Селезнев,+7 (992) 932 33-20,Автоэлектрик,27.2
54,Лазарь,Хохлов,+7 (915) 508 39-82,Кузовщик,11.5
55,Аверкий,Субботин,+7 (975) 329 20-94,Рихтовщик,14.5
56,Дорофей,Хохлов,+7 (948) 121 92-57,Автоэлектрик,22.9
57,Натан,Наумов,+7 (988) 967 66-43,Автомаляр,14.0
58,Агафон,Овчинников,+7 (967) 889 74-30,Автоэлектрик,3.0
59,Никон,Доронин,+7 (947) 677 92-31,Автомаляр,25.2
60,Соломон,Смирнов,+7 (993) 307 39-70,Рихтовщик,31.5
61,Радован,Лыткин,+7 (929) 419 52-09,Автослесарь,21.2
62,Эрнст,Кузнецов,+7 (997) 128 94-02,Рихтовщик,24.9
63,Лавр,Симонов,+7 (925) 133 78-95,Автоэлектрик,19.2
64,Устин,Кулаков,+7 (980) 922 29-03,Кузовщик,27.5
65,Климент,Быков,+7 (901) 266 81-09,Автомаляр,4.3
66,Добромысл,Панфилов,+7 (936) 122 07-18,Автомеханик,5.0
67,Захар,Евсеев,+7 (901) 536 12-59,Автомаляр,28.7
68,Евсей,Громов,+7 (964) 961 35-17,Кузовщик,27.7
69,Фока,Игнатьев,+7 (947) 574 58-45,Кузовщик,25.2
70,Панкрат,Лыткин,+7 (952) 181 71-76,Кузовщик,8.8
71,Ладимир,Тетерин,+7 (930) 350 86-37,Автослесарь,29.6
72,Лавр,Владимиров,+7 (911) 707 75-36,Автомеханик,18.4
73,Милован,Давыдов,+7 (929) 453 62-80,Автослесарь,6.4
74,Руслан,Ефимов,+7 (988) 850 51-03,Шиномонтажник,26.4
75,Нифонт,Горшков,+7 (906) 956 19-96,Автоэлектрик,30.0
76,Милован,Зиновьев,+7 (979) 508 16-48,Кузовщик,7.1
77,Карп,Кабанов,+7 (961) 290 68-25,Автомеханик,6.9
78,Игорь,Куликов,+7 (950) 810 47-01,Автомеханик,7.5
79,Евграф,Горбунов,+7 (962) 299 16-16,Кузовщик,8.3
80,Радислав,Миронов,+7 (959) 620 89-48,Автомеханик,21.9
81,Иосиф,Беляков,+7 (913) 297 77-52,Кузовщик,8.2
82,Евстафий,Сазонов,+7 (999) 902 90-98,Кузовщик,2.5
83,Тимофей,Костин,+7 (921) 701 54-43,Кузовщик,24.0
84,Иван,Макаров,+7 (992) 483 49-01,Автомаляр,3.7
85,Влас,Коновалов,+7 (942) 821 82-24,Кузовщик,11.8
86,Евсей,Воробьев,+7 (945) 252 48-52,Автомаляр,12.0
87,Константин,Фадеев,+7 (934) 242 70-37,Автомаляр,18.8
88,Никодим,Кабанов,+7 (953) 982 27-89,Автослесарь,26.9
89,Фотий,Ширяев,+7 (951) 649 20-97,Автослесарь,7.0
90,Натан,Копылов,+7 (965) 679 15-84,Автоэлектрик,14.0
91,Митофан,Щербаков,+7 (991) 283 02-31,Автоэлектрик,26.4
92,Измаил,Алексеев,+7 (933) 973 16-82,Автомеханик,22.4
93,Ананий,Борисов,+7 (955) 244 73-58,Кузовщик,16.7
94,Вячеслав,Корнилов,+7 (911) 214 50-71,Автомеханик,2.5
95,Милен,Вишняков,+7 (979) 144 20-00,Автомеханик,16.6
96,Натан,Мамонтов,+7 (933) 704 48-92,Шиномонтажник,23.0
